13RENTAL-013,I3,DESKTOP,WIN 8.1 PRO,2013-04-03,FORTRESS ATX,DESKTOP CASING,FORTRESS 700W PSU, POWER SUPPLY,INTEL CORE I3 2120 3.30 GHZ,PROCESSOR,ASUS P8H61-MLX3 PLUS M/B,MOTHERBOARD,WESTERN DIGITAL 500GB HDD SATA,HDD,KINGSTON 4GB PC1333 DDR3 MEMORY,MEMORY,,,LITEON DRIVE,DVDRW SATA,,
13RENTAL-014,I3,DESKTOP,,2013-04-03,FORTRESS ATX,DESKTOP CASING,FORTRESS 700W PSU, POWER SUPPLY,INTEL CORE I3 2120 3.30 GHZ,PROCESSOR,ASUS P8H61-MLX3 PLUS M/B,MOTHERBOARD,WESTERN DIGITAL 500GB HDD SATA,HDD,KINGSTON 4GB PC1333 DDR3 MEMORY,MEMORY,,,LITEON DRIVE,DVDRW SATA,,
13RENTAL-015,I3,DESKTOP,,2013-04-03,FORTRESS ATX,DESKTOP CASING,FORTRESS 700W PSU, POWER SUPPLY,INTEL CORE I3 2120 3.30 GHZ,PROCESSOR,ASUS P8H61-MLX3 PLUS M/B,MOTHERBOARD,WESTERN DIGITAL 500GB HDD SATA,HDD,KINGSTON 4GB PC1333 DDR3 MEMORY,MEMORY,,,LITEON DRIVE,DVDRW SATA,,
13RENTAL-016,I3,DESKTOP,,2013-04-03,FORTRESS ATX,DESKTOP CASING,FORTRESS 700W PSU, POWER SUPPLY,INTEL CORE I3 2120 3.30 GHZ,PROCESSOR,ASUS P8H61-MLX3 PLUS M/B,MOTHERBOARD,WESTERN DIGITAL 500GB HDD SATA,HDD,KINGSTON 4GB PC1333 DDR3 MEMORY,MEMORY,,,LITEON DRIVE,DVDRW SATA,,
13RENTAL-017,I3,DESKTOP,,2013-04-03,FORTRESS ATX,DESKTOP CASING,FORTRESS 700W PSU, POWER SUPPLY,INTEL CORE I3 2120 3.30 GHZ,PROCESSOR,ASUS P8H61-MLX3 PLUS M/B,MOTHERBOARD,WESTERN DIGITAL 500GB HDD SATA,HDD,KINGSTON 4GB PC1333 DDR3 MEMORY,MEMORY,,,LITEON DRIVE,DVDRW SATA,,
13RENTAL-018,I3,DESKTOP,,2013-04-03,FORTRESS ATX,DESKTOP CASING,FORTRESS 700W PSU, POWER SUPPLY,INTEL CORE I3 2120 3.30 GHZ,PROCESSOR,ASUS P8H61-MLX3 PLUS M/B,MOTHERBOARD,WESTERN DIGITAL 500GB HDD SATA,HDD,KINGSTON 4GB PC1333 DDR3 MEMORY,MEMORY,,,LITEON DRIVE,DVDRW SATA,,
13RENTAL-019,I3,DESKTOP,,2013-04-03,FORTRESS ATX,DESKTOP CASING,FORTRESS 700W PSU, POWER SUPPLY,INTEL CORE I3 2120 3.30 GHZ,PROCESSOR,ASUS P8H61-MLX3 PLUS R2.0 M/B,MOTHERBOARD,WESTERN DIGITAL 500GB HDD SATA,HDD,SEITEC 4GB PC1333 DDR3 MEMORY,MEMORY,,,SAMSUNG DRIVE,DVDRW SATA,,
13RENTAL-020,I3,DESKTOP,,2013-04-03,ORION ATX,DESKTOP CASING,ORION 600W PSU, POWER SUPPLY,INTEL CORE I3 2120 3.30 GHZ,PROCESSOR,ASUS P8H61-MLX3 PLUS M/B,MOTHERBOARD,WESTERN DIGITAL 500GB HDD SATA,HDD,SEITEC 4GB PC1333 DDR3 MEMORY,MEMORY,,,LITEON DRIVE,DVDRW SATA,,
13RENTAL-021,I3,DESKTOP,,2013-04-03,FORTRESS ATX,DESKTOP CASING,FORTRESS 700W PSU, POWER SUPPLY,INTEL CORE I3 2120 3.30 GHZ,PROCESSOR,ASUS P8H61-MLX3 PLUS M/B,MOTHERBOARD,WESTERN DIGITAL 500GB HDD SATA,HDD,KINGSTON 4GB PC1333 DDR3 MEMORY,MEMORY,,,LITEON DRIVE,DVDRW SATA,,
13RENTAL-022,I3,DESKTOP,,2013-04-03,FORTRESS ATX,DESKTOP CASING,FORTRESS 700W PSU, POWER SUPPLY,INTEL CORE I3 2120 3.30 GHZ,PROCESSOR,ASUS P8H61-MLX3 PLUS M/B,MOTHERBOARD,WESTERN DIGITAL 500GB HDD SATA,HDD,KINGSTON 4GB PC1333 DDR3 MEMORY,MEMORY,,,LITEON DRIVE,DVDRW SATA,,
13RENTAL-023,I3,DESKTOP,WIN 7 PRO,2013-04-03,FORTRESS ATX,DESKTOP CASING,FORTRESS 700W PSU, POWER SUPPLY,INTEL CORE I3 2120 3.30 GHZ,PROCESSOR,ASUS P8H61-MLX3 PLUS M/B,MOTHERBOARD,WESTERN DIGITAL 500GB HDD SATA,HDD,KINGSTON 4GB PC1333 DDR3 MEMORY,MEMORY,,,LITEON DRIVE,DVDRW SATA,,
13RENTAL-024,I3,DESKTOP,,2013-04-03,FORTRESS ATX,DESKTOP CASING,FORTRESS 700W PSU, POWER SUPPLY,INTEL CORE I3 2120 3.30 GHZ,PROCESSOR,ASUS P8H61-MLX3 PLUS M/B,MOTHERBOARD,WESTERN DIGITAL 500GB HDD SATA,HDD,KINGSTON 4GB PC1333 DDR3 MEMORY,MEMORY,,,LITEON DRIVE,DVDRW SATA,,
13RENTAL-025,I3,DESKTOP,,2013-04-03,ORION ATX,DESKTOP CASING,ORION 600W PSU, POWER SUPPLY,INTEL CORE I3 2120 3.30 GHZ,PROCESSOR,ASUS P8H61-MLX3 PLUS M/B,MOTHERBOARD,WESTERN DIGITAL 500GB HDD SATA,HDD,KINGSTON 4GB PC1333 DDR3 MEMORY,MEMORY,,,LITEON DRIVE,DVDRW SATA,,
13RENTAL-026,I3,DESKTOP,,2013-04-03,ORION ATX,DESKTOP CASING,ORION 600W PSU, POWER SUPPLY,INTEL CORE I3 2120 3.30 GHZ,PROCESSOR,ASUS P8H61-MLX3 PLUS M/B,MOTHERBOARD,WESTERN DIGITAL 500GB HDD SATA,HDD,KINGSTON 4GB PC1333 DDR3 MEMORY,MEMORY,KINGSTON 4GB PC1333 DDR3 MEMORY,MEMORY,LITEON DRIVE,DVDRW SATA,,
13RENTAL-027,I3,DESKTOP,,2013-04-03,FORTRESS ATX,DESKTOP CASING,FORTRESS 700W PSU, POWER SUPPLY,INTEL CORE I3 2120 3.30 GHZ,PROCESSOR,ASUS P8H61-MLX3 PLUS M/B,MOTHERBOARD,WESTERN DIGITAL 500GB HDD SATA,HDD,KINGSTON 4GB PC1333 DDR3 MEMORY,MEMORY,,,IBM DRIVE,DVDRW SATA,,
